BorrowerAPR,CreditScoreRangeUpper,CurrentCreditLines,TotalInquiries,BankcardUtilization,DebtToIncomeRatio
.154250,759,21,2.000000,.390000,.360000
.274620,659,2,2.000000,.510000,.120000
.196300,699,10,2.000000,.460000,
.143480,739,9,17.000000,.610000,.280000
.242460,659,12,1.000000,.760000,.170000
.131090,779,15,5.000000,.480000,.180000
.277760,659,5,2.000000,.970000,.310000
.222830,779,11,4.000000,.430000,.280000
.200810,739,11,3.000000,.500000,.310000
.357970,699,4,10.000000,.320000,.200000
.198590,719,10,5.000000,.920000,.350000
.358580,699,13,2.000000,.900000,.390000
.214340,739,14,5.000000,.300000,.110000
.160050,739,11,9.000000,.260000,.180000
.138360,679,15,3.000000,.930000,.300000
.206260,719,9,1.000000,.670000,.380000
.215760,739,6,7.000000,.100000,.220000
.353560,639,13,8.000000,.550000,1.260000
.132710,759,12,.000000,.510000,.230000
.227120,719,11,3.000000,.970000,.310000
.169690,719,10,1.000000,.760000,.170000
.131890,719,9,3.000000,.970000,.140000
.149650,719,19,14.000000,.400000,.170000
.184260,699,6,2.000000,.950000,.230000
.302850,659,10,.000000,.820000,.080000
.132270,759,12,3.000000,.610000,
.295100,659,18,.000000,.980000,.200000
.191440,679,8,3.000000,.600000,.260000
.289740,659,8,4.000000,.910000,.250000
.257810,679,5,5.000000,.690000,
.295370,659,4,3.000000,.980000,.120000
.348870,659,9,17.000000,.830000,
.147140,739,7,.000000,.910000,.300000
.221350,679,11,5.000000,.820000,.240000
.357970,699,4,1.000000,.970000,.280000
.181360,739,7,9.000000,.160000,.240000
.205930,779,12,6.000000,.380000,.130000
.358380,659,7,8.000000,.890000,.630000
.221400,719,10,11.000000,.390000,.270000
.356430,719,8,2.000000,.030000,
.191080,699,6,.000000,.850000,.110000
.200810,759,9,2.000000,.840000,.220000
.191080,699,4,.000000,.660000,.180000
.152230,739,8,1.000000,.800000,.310000
.154250,719,12,7.000000,.620000,.120000
.133010,779,13,3.000000,.210000,.320000
.212900,679,11,15.000000,.690000,.240000
.242050,659,10,.000000,.810000,.250000
.242460,659,2,2.000000,.000000,.040000
.195400,679,8,6.000000,.490000,.140000
.133010,819,9,6.000000,.160000,
.283390,699,4,2.000000,.500000,.220000
.262820,659,5,4.000000,.820000,.280000
.357970,719,7,12.000000,.340000,.290000
.308990,659,6,3.000000,.770000,.130000
.250130,719,8,2.000000,.360000,.150000
.312930,639,3,5.000000,.000000,.050000
.189130,739,18,3.000000,.640000,.360000
.324460,679,7,5.000000,.460000,.130000
.274620,699,23,1.000000,.510000,.360000
.094340,779,5,1.000000,.430000,.150000
.144530,759,11,.000000,.770000,
.340450,739,2,4.000000,.050000,
.301820,719,12,5.000000,.540000,.140000
.203580,779,7,5.000000,.210000,.200000
.246140,679,7,5.000000,.770000,.170000
.169930,699,7,9.000000,.570000,.060000
.316320,699,13,6.000000,.850000,
.218320,679,11,2.000000,.670000,.350000
.357970,659,8,2.000000,.950000,.350000
.121130,779,16,7.000000,.290000,.170000
.213720,779,13,1.000000,.430000,.290000
.275540,819,13,1.000000,.460000,
.178390,759,8,2.000000,.690000,.240000
.208690,719,10,7.000000,.780000,
.242050,719,24,7.000000,.450000,.370000
.125280,739,5,.000000,.490000,.130000
.324880,699,18,3.000000,.780000,.450000
.274620,739,3,1.000000,.580000,
.234770,679,6,4.000000,.930000,.140000
.181360,759,8,2.000000,.940000,.190000
.186330,699,19,3.000000,.980000,.310000
.132200,719,13,7.000000,.010000,.210000
.295100,679,6,3.000000,.880000,.080000
.148530,719,13,6.000000,.660000,.290000
.252590,779,12,3.000000,.680000,.290000
.214340,679,5,2.000000,.000000,.310000
.317900,719,4,12.000000,.930000,
.391530,679,3,3.000000,.000000,.120000
.147140,759,10,1.000000,.470000,.320000
.351320,759,4,3.000000,.770000,
.272850,699,11,4.000000,.660000,.220000
.214340,679,8,2.000000,.280000,.220000
.207050,799,5,2.000000,.270000,.410000
.318480,679,7,2.000000,.000000,.500000
.122050,779,9,7.000000,.510000,.150000
.196450,719,13,2.000000,.580000,.330000
.303370,699,12,5.000000,.500000,.140000
.158330,719,11,7.000000,.180000,.290000
.245890,679,11,2.000000,.960000,.230000
.356430,679,0,1.000000,.000000,.030000
.198590,739,22,5.000000,.350000,.520000
.098370,799,11,7.000000,.290000,.220000
.252950,679,9,3.000000,.650000,.340000
.261280,719,9,6.000000,.810000,.290000
.125280,779,23,2.000000,.350000,.260000
.357970,699,19,3.000000,.690000,.380000
.287800,739,7,.000000,.860000,.420000
.358430,679,17,10.000000,.770000,.290000
.097360,759,5,1.000000,.280000,.130000
.295100,739,5,8.000000,.280000,.330000
.205240,719,6,1.000000,.370000,.360000
.152230,759,3,.000000,.020000,.100000
.287040,679,9,4.000000,.770000,.640000
.283240,759,6,12.000000,.070000,.110000
.163240,719,23,11.000000,.690000,.150000
.239390,659,6,2.000000,.560000,.120000
.261280,659,10,5.000000,1.010000,.100000
.195010,699,14,3.000000,.830000,.400000
.182750,719,14,6.000000,.000000,.190000
.183160,699,12,6.000000,.820000,.080000
.330400,639,8,3.000000,1.070000,.300000
.134550,759,12,5.000000,.450000,.260000
.242460,659,9,2.000000,.600000,.340000
.288480,619,4,6.000000,.070000,.200000
.346210,659,0,6.000000,.000000,.160000
.184790,719,11,4.000000,.280000,.100000
.228750,659,20,4.000000,.920000,.250000
.219450,719,11,2.000000,.200000,.150000
.126630,779,9,7.000000,.120000,.200000
.242460,739,20,11.000000,.560000,.180000
.124270,719,16,3.000000,.580000,.440000
.120810,699,9,2.000000,.780000,.290000
.323780,619,17,4.000000,.990000,.240000
.226930,719,13,.000000,.610000,.200000
.183160,659,6,5.000000,.420000,.240000
.357970,659,7,17.000000,.000000,.340000
.154250,699,7,1.000000,.110000,.080000
.152230,699,10,6.000000,.440000,.290000
.346140,719,7,.000000,.570000,.390000
.200810,739,14,2.000000,.750000,.160000
.135450,699,6,1.000000,.490000,.130000
.215760,699,13,7.000000,.720000,.400000
.357970,739,11,1.000000,.900000,.960000
